component_id,module_id,name,type,technology,criticality,lines_of_code,coverage_percentage
COMP-UI-EDITOR,MOD-FRONTEND-UI,Code Editor Widget,widget,React,high,3200,82
COMP-UI-AUTHGUARD,MOD-FRONTEND-UI,Route Auth Guard,utility,TypeScript,medium,850,91
COMP-MCP-WS-CLIENT,MOD-FRONTEND-MCPCLIENT,SSE/WebSocket Bridge,integration,TypeScript,high,1450,78
COMP-API-GATEWAY-ROUTER,MOD-API-GATEWAY,Routing Layer,service,Pydantic/FastAPI,critical,2100,88
COMP-API-RATE-LIMITER,MOD-API-GATEWAY,Rate Limiter,middleware,Redis,high,600,75
COMP-AUTH-JWT,MOD-API-AUTH,JWT Provider,library,Python,critical,980,93
COMP-LINT-RULESET,MOD-MCP-LINT,Ultimate MCP Ruleset,data,Python,medium,540,100
COMP-TEST-HARNESS,MOD-MCP-TEST,Parameterized Test Harness,framework,Pytest,high,1875,87
COMP-EXEC-SANDBOX,MOD-MCP-EXEC,MicroVM Sandbox,service,Firecracker,critical,2600,79
COMP-ANALYTICS-STREAM,MOD-ANALYTICS-PIPELINE,Streaming ETL,data,Apache Beam,high,2200,73
COMP-ANALYTICS-DASHBOARD-CARDS,MOD-ANALYTICS-DASHBOARD,Insight Cards,widget,React,medium,1250,84
