from_id,relationship,to_id,properties
SVC-FRONTEND,DEPENDS_ON,SVC-API,"{}"
SVC-API,DEPENDS_ON,SVC-MCP,"{}"
SVC-MCP,DEPENDS_ON,SVC-ANALYTICS,"{}"
SVC-API,DEPENDS_ON,SVC-MCP,"{}"
SVC-MCP,DEPENDS_ON,SVC-ANALYTICS,"{}"
MOD-FRONTEND-UI,PART_OF,SVC-FRONTEND,"{}"
MOD-FRONTEND-MCPCLIENT,PART_OF,SVC-FRONTEND,"{}"
MOD-API-GATEWAY,PART_OF,SVC-API,"{}"
MOD-API-AUTH,PART_OF,SVC-API,"{}"
MOD-MCP-LINT,PART_OF,SVC-MCP,"{}"
MOD-MCP-TEST,PART_OF,SVC-MCP,"{}"
MOD-MCP-EXEC,PART_OF,SVC-MCP,"{}"
MOD-ANALYTICS-PIPELINE,PART_OF,SVC-ANALYTICS,"{}"
MOD-ANALYTICS-DASHBOARD,PART_OF,SVC-ANALYTICS,"{}"
COMP-UI-EDITOR,PART_OF,MOD-FRONTEND-UI,"{}"
COMP-UI-AUTHGUARD,PART_OF,MOD-FRONTEND-UI,"{}"
COMP-MCP-WS-CLIENT,PART_OF,MOD-FRONTEND-MCPCLIENT,"{}"
COMP-API-GATEWAY-ROUTER,PART_OF,MOD-API-GATEWAY,"{}"
COMP-API-RATE-LIMITER,PART_OF,MOD-API-GATEWAY,"{}"
COMP-AUTH-JWT,PART_OF,MOD-API-AUTH,"{}"
COMP-LINT-RULESET,PART_OF,MOD-MCP-LINT,"{}"
COMP-TEST-HARNESS,PART_OF,MOD-MCP-TEST,"{}"
COMP-EXEC-SANDBOX,PART_OF,MOD-MCP-EXEC,"{}"
COMP-ANALYTICS-STREAM,PART_OF,MOD-ANALYTICS-PIPELINE,"{}"
COMP-ANALYTICS-DASHBOARD-CARDS,PART_OF,MOD-ANALYTICS-DASHBOARD,"{}"
MOD-MCP-LINT,PRODUCED,LINT-20251007-001,"{}"
MOD-MCP-LINT,PRODUCED,LINT-20251007-002,"{}"
MOD-API-GATEWAY,PRODUCED,LINT-20251007-003,"{}"
MOD-MCP-LINT,PRODUCED,LINT-20251007-004,"{}"
MOD-MCP-EXEC,PRODUCED,LINT-20251007-005,"{}"
MOD-ANALYTICS-PIPELINE,PRODUCED,LINT-20251006-901,"{}"
MOD-MCP-TEST,PRODUCED,TEST-20251007-001,"{}"
MOD-MCP-TEST,PRODUCED,TEST-20251007-002,"{}"
MOD-FRONTEND-UI,PRODUCED,TEST-20251006-504,"{}"
MOD-API-GATEWAY,PRODUCED,TEST-20251006-505,"{}"
MOD-ANALYTICS-PIPELINE,PRODUCED,TEST-20251005-220,"{}"
MOD-API-AUTH,PRODUCED,TEST-20251004-118,"{}"
MOD-MCP-EXEC,PRODUCED,EXEC-20251007-001,"{}"
MOD-MCP-EXEC,PRODUCED,EXEC-20251007-002,"{}"
MOD-MCP-EXEC,PRODUCED,EXEC-20251007-003,"{}"
MOD-ANALYTICS-PIPELINE,PRODUCED,EXEC-20251006-410,"{}"
MOD-MCP-EXEC,PRODUCED,GEN-20251007-001,"{}"
MOD-MCP-TEST,PRODUCED,GEN-20251007-002,"{}"
MOD-FRONTEND-UI,PRODUCED,GEN-20251006-310,"{}"
PERSON-001,OWNS,SVC-FRONTEND,"{}"
PERSON-002,OWNS,SVC-API,"{}"
PERSON-003,OWNS,SVC-MCP,"{}"
PERSON-005,OWNS,SVC-ANALYTICS,"{}"
PERSON-002,AUTHORED,PR-20251007-101,"{}"
PERSON-001,AUTHORED,PR-20251007-102,"{}"
PERSON-002,AUTHORED,PR-20251006-205,"{}"
PERSON-006,AUTHORED,PR-20251005-089,"{}"
PERSON-003,OWNS,INC-20251007-001,"{}"
PERSON-002,OWNS,INC-20251006-004,"{}"
PERSON-006,OWNS,INC-20251001-013,"{}"
