module_id,service_id,name,type,language,repo_path,cicd_pipeline,touch_frequency,documentation_url
MOD-FRONTEND-UI,SVC-FRONTEND,Frontend UI Shell,frontend,TypeScript,services/frontend/ui,.github/workflows/frontend-ci.yml,daily,https://docs.ultimate-mcp.dev/frontend/ui-shell
MOD-FRONTEND-MCPCLIENT,SVC-FRONTEND,MCP Client Adapter,frontend,TypeScript,services/frontend/mcp-client,.github/workflows/frontend-ci.yml,weekly,https://docs.ultimate-mcp.dev/frontend/mcp-client
MOD-API-GATEWAY,SVC-API,Public API Gateway,backend,Python,services/api/gateway,.github/workflows/backend-ci.yml,daily,https://docs.ultimate-mcp.dev/backend/gateway
MOD-API-AUTH,SVC-API,Authentication Service,backend,Python,services/api/auth,.github/workflows/backend-ci.yml,weekly,https://docs.ultimate-mcp.dev/backend/auth
MOD-API-OBS,SVC-API,API Observability,backend,Python,services/api/observability,.github/workflows/backend-ci.yml,biweekly,https://docs.ultimate-mcp.dev/backend/observability
MOD-MCP-LINT,SVC-MCP,Static Analysis Tooling,tooling,Python,services/mcp/lint,.github/workflows/mcp-ci.yml,daily,https://docs.ultimate-mcp.dev/mcp/lint
MOD-MCP-TEST,SVC-MCP,Test Automation Harness,tooling,Python,services/mcp/test,.github/workflows/mcp-ci.yml,daily,https://docs.ultimate-mcp.dev/mcp/test
MOD-MCP-EXEC,SVC-MCP,Secure Execution Sandbox,tooling,Python,services/mcp/exec,.github/workflows/mcp-ci.yml,daily,https://docs.ultimate-mcp.dev/mcp/exec
MOD-MCP-COMMON,SVC-MCP,Tooling Shared Utilities,tooling,Python,services/mcp/common,.github/workflows/mcp-ci.yml,weekly,https://docs.ultimate-mcp.dev/mcp/common
MOD-ANALYTICS-PIPELINE,SVC-ANALYTICS,Telemetry Pipeline,data,Python,services/analytics/pipeline,.github/workflows/analytics-ci.yml,weekly,https://docs.ultimate-mcp.dev/analytics/pipeline
MOD-ANALYTICS-DASHBOARD,SVC-ANALYTICS,Insights Dashboard,frontend,TypeScript,services/analytics/dashboard,.github/workflows/analytics-ui-ci.yml,biweekly,https://docs.ultimate-mcp.dev/analytics/dashboard
MOD-ANALYTICS-SHARED,SVC-ANALYTICS,Analytics Shared Components,data,Python,services/analytics/shared,.github/workflows/analytics-ci.yml,monthly,https://docs.ultimate-mcp.dev/analytics/shared
MOD-API-CORE,SVC-API,Gateway Core Library,backend,Python,services/api/core,.github/workflows/backend-ci.yml,biweekly,https://docs.ultimate-mcp.dev/backend/core
MOD-API-SHARED,SVC-API,Gateway Shared Contracts,backend,Python,services/api/shared,.github/workflows/backend-ci.yml,monthly,https://docs.ultimate-mcp.dev/backend/shared
